Subject_ID,Photo_Filename,Caption_Text,Source(Archive/Newspaper/Family),Language
IMG-EA0002,IMG-EA0002_Chinese_Junks_Sampans_Shanghai_River.png,"A mounted album page contains a horizontal photograph of a crowded riverfront. Numerous low boats fill the foreground, while taller junks with upright masts and sails occupy the middle ground. Buildings form a thin horizon line, and a handwritten caption appears beneath the pasted photograph.",Archive,English
IMG-EA0001,IMG-EA0001_Under_the_Wave_off_Kanagawa.png,"Three long, narrow boats cross a turbulent sea beneath a large curling wave. Many small figures bend forward inside the boats, while Mount Fuji appears as a low triangular form in the distance. Deep blue and pale blue water contrasts with cream paper and tan boat hulls. Vertical Japanese text appears in the upper left.",Archive,English
0003,IMG-EA0003_Samurai_Yokohama.png,"A full-length studio portrait shows one adult man standing against a plain dark backdrop. He wears a light robe secured with a dark sash and holds a sheathed sword horizontally at waist height. A folded fan is visible near his lower body, and the figure turns slightly while looking toward the camera.",Archive,English
IMG-WA0013,IMG-WA0013_Palace_of_the_Shah_Teheran.png,"A pale and substantially faded photograph shows a palace complex beside a reflecting pool. An open arched pavilion stands at the left, while a tall narrow tower and a domed structure rise toward the right. Low contrast makes smaller architectural and landscape details difficult to distinguish.",Archive,English
IMG-SA0004,IMG-SA0004_Roya_Gopuram_Pillars_Madura.png,"A vertical architectural photograph focuses on a large carved stone pillar at the left edge of a recessed portico. Circular and figural reliefs run down its surface. Additional columns, brackets and dark openings recede to the right, while a rough stone floor occupies the foreground.",Archive,English
IMG-NAM0008,IMG-NAM0008_Yosemite_Falls_River_View.png,"A sepia-toned landscape photograph presents a high waterfall descending between steep granite cliffs. A calm river occupies the foreground, bordered by dark trees that frame the brighter rock face and falling water. The photographic image has rounded upper corners and is mounted on a larger cream-colored support.",Archive,English
IMG-NAF0010,IMG-NAF0010_Pyramid_of_Chephren.png,"A pyramid rises near the centre-right of a broad desert view. Low stone structures extend across the left and lower middle ground, while a pale sandy foreground leads toward the monument. The nearly blank sky and restrained tonal range give the architecture a stark geometric presence.",Archive,English
IMG-MAM0009,IMG-MAM0009_La_Prison_Chichen_Itza.png,"A rectangular stone building stands amid dense vegetation. Three dark doorways open across the lower facade, while a decorated horizontal band and low upper structure rise above. Trees partly obscure the building, and two small standing figures provide scale.",Archive,English
0004,IMG-WA0007_Portrait_of_a_Persian_Lady.png,"A richly dressed seated woman appears within a rectangular painting surrounded by coloured and gold borders. She sits cross-legged on a patterned surface with fruit near one hand. Behind her, a tree, river, vegetation, mountains and large clouds form an expansive landscape.",Archive,English
0005,IMG-SEA0006_Two_Men_Bamboo_Singapore.png,"A vertical studio photograph shows two barefoot adult men standing against a plain backdrop. Each holds a tall bundle of narrow bamboo tubes upright. The taller figure at left wears a broad hat and wrapped lower garment; the shorter figure wears a head covering, light top and patterned lower cloth.",Archive,English
0006,IMG-SA0005_Ceylonese_Woman.png,"A mounted head-and-shoulders portrait shows one young woman facing forward. A light cloth covers the top and sides of her head, while long wavy hair falls over both shoulders. The pale print is surrounded by a mount marked with stains, scratches and uneven discolouration.",Archive,English
0007,IMG-NE0014_Newhaven_Fishwife.png,"A seated adult woman faces the camera beside a large woven basket. She wears a light head covering and blouse with a strongly striped skirt. Her hands rest on or near the basket, and bright illumination separates her figure from a dark background.",Archive,English
IMG-WAF0012,IMG-WAF0012_Uhunmwelao_Head_of_an_Oba.png,"A frontal museum photograph shows a cast-metal head with a rounded face, almond-shaped eyes, broad nose and closed lips. A densely patterned cap covers the crown, with long beaded strands descending beside both ears. A layered collar forms a wide base against a neutral grey background.",Archive,English
IMG-WAF0011,IMG-WAF0011_Kente_Prestige_Cloth.png,"An official museum photograph shows a large woven cloth wrapped around a grey mannequin. The textile is assembled from narrow strips with repeated rectangular and striped patterns in green, red, yellow, blue and muted brown. A brighter patterned band runs vertically along the mannequin's right side.",Archive,English
