Subject_ID,Photo_Filename,Holding_Institution,Scan_Copyright_Owner,License_Type,Commercial_Use_Allowed,Confirmation_Date,Notes
IMG-EA0002,IMG-EA0002_Chinese_Junks_Sampans_Shanghai_River.png,The Metropolitan Museum of Art,Not verified,Not verified,Not verified,,"Regional Reference record IMG-EA0002 (China / Shanghai, dataset/02_Regional_Reference/04_China/Shanghai/); accession no. 2005.100.583 (91b); source docx: IMG-EA0002_China_John Thomson_Chinese Junks Sampans, Shanghai River.docx"
IMG-EA0001,IMG-EA0001_Under_the_Wave_off_Kanagawa.png,The Metropolitan Museum of Art,Not verified,Not verified,Not verified,,"Regional Reference record IMG-EA0001 (Japan / Kanagawa, dataset/02_Regional_Reference/05_Japan/Kanagawa/); object no. JP1847; source docx: IMG-EA0001_Japan_Katsushika-Hokusai_Great-Wave.docx"
0003,IMG-EA0003_Samurai_Yokohama.png,The Metropolitan Museum of Art,Not verified,Not verified,Not verified,,"Subject record 0003_Unknown_Samurai (dataset/01_Subjects/0003_Unknown_Samurai/08_Photographic_Materials/); accession no. 2005.100.566; source docx: IMG-EA0003_Japan_Felice Beato_Japan.docx; original record ID IMG-EA0003"
IMG-WA0013,IMG-WA0013_Palace_of_the_Shah_Teheran.png,The Metropolitan Museum of Art,Not verified,Not verified,Not verified,,"Regional Reference record IMG-WA0013 (Iran / Tehran, dataset/02_Regional_Reference/06_Iran/Tehran/); accession no. 1977.683.12"
IMG-SA0004,IMG-SA0004_Roya_Gopuram_Pillars_Madura.png,The Metropolitan Museum of Art,Not verified,Not verified,Not verified,,"Regional Reference record IMG-SA0004 (India / Madurai, dataset/02_Regional_Reference/07_India/Madurai/); accession no. 2005.100.381.1.9; depicts an active religious/cultural heritage site (Meenakshi Sundareshvara temple) - retain site name, do not treat as anonymous decorative pattern"
IMG-NAM0008,IMG-NAM0008_Yosemite_Falls_River_View.png,The Metropolitan Museum of Art,Not verified,Not verified,Not verified,,"Regional Reference record IMG-NAM0008 (United States / Yosemite, dataset/02_Regional_Reference/08_United_States/Yosemite/); accession no. 2005.100.1274"
IMG-NAF0010,IMG-NAF0010_Pyramid_of_Chephren.png,The Metropolitan Museum of Art,Not verified,Not verified,Not verified,,"Regional Reference record IMG-NAF0010 (Egypt / Giza, dataset/02_Regional_Reference/09_Egypt/Giza/); accession no. 1981.1229.6.1"
IMG-MAM0009,IMG-MAM0009_La_Prison_Chichen_Itza.png,The Metropolitan Museum of Art,Not verified,Not verified,Not verified,,"Regional Reference record IMG-MAM0009 (Mexico / Chichen Itza, dataset/02_Regional_Reference/10_Mexico/Chichen_Itza/); accession no. 2005.100.565; building now identified as Casa Colorada/Chichanchob, original function uncertain"
0004,IMG-WA0007_Portrait_of_a_Persian_Lady.png,The Metropolitan Museum of Art,Not verified,Not verified,Not verified,,"Subject record 0004_Unknown_Persian_Lady (dataset/01_Subjects/0004_Unknown_Persian_Lady/08_Photographic_Materials/); accession no. 30.95.174.32; original record ID IMG-WA0007"
0005,IMG-SEA0006_Two_Men_Bamboo_Singapore.png,The Metropolitan Museum of Art,Not verified,Not verified,Not verified,,"Subject record 0005_Unknown_Men_Bamboo_Singapore (dataset/01_Subjects/0005_Unknown_Men_Bamboo_Singapore/08_Photographic_Materials/); accession no. 2017.69.5; original record ID IMG-SEA0006; NOTE: source filename said 'Ceylonese Woman' but content is a different photo of two men in Singapore - flagged for review"
0006,IMG-SA0005_Ceylonese_Woman.png,The Metropolitan Museum of Art,Not verified,Not verified,Not verified,,"Subject record 0006_Unknown_Ceylonese_Woman (dataset/01_Subjects/0006_Unknown_Ceylonese_Woman/08_Photographic_Materials/); accession no. 69.607.3; original record ID IMG-SA0005"
0007,IMG-NE0014_Newhaven_Fishwife.png,The Metropolitan Museum of Art,Not verified,Not verified,Not verified,,"Subject record 0007_Unknown_Newhaven_Fishwife (dataset/01_Subjects/0007_Unknown_Newhaven_Fishwife/08_Photographic_Materials/); accession no. 37.98.1.63; original record ID IMG-NE0014"
IMG-WAF0012,IMG-WAF0012_Uhunmwelao_Head_of_an_Oba.png,The Metropolitan Museum of Art,Not verified,Not verified,Not verified,,"Artifact record IMG-WAF0012 (Nigeria / Benin Court, dataset/03_Artifacts/01_Nigeria/Benin_Court/); accession no. 1979.206.86"
IMG-WAF0011,IMG-WAF0011_Kente_Prestige_Cloth.png,The Metropolitan Museum of Art,Not verified,Not verified,Not verified,,"Artifact record IMG-WAF0011 (Ghana / Kumasi, dataset/03_Artifacts/02_Ghana/Kumasi/); accession no. 1972.56.1; purchase, Irene Lewisohn Bequest 1972"
